# Glossary in tab-separated format -*- coding: utf-8 -*-
ābādhāya	padecimiento
ābādhikaṁ	padeciendo
abbhuggacchati	trasciende
abhabbo	incapaz
abhijjhā	codicia
abhijjhālu	codicioso
abhikkantaṁ	magnífico
abhinandati	aprueba
abhinandiṁsu	aprobaron
abhinandunti	aprobaron
abhiṇha	habitual
abhiṇhaṁ	habitualmente
abhinibbatti	génesis
abhiññā	tomar conciencia
abhiññāya	toma de conciencia
abhiññāya	tomar conciencia
abhirati	contentamiento
abhiratiyā	contentamiento
abhisamparāyaṁ	ulteriores
abhivadanti	pregonan
abhivadati	acoge
abrahmacariyā	conducta no espiritual
abyābajjha	alivio
abyābajjhā	alivio
abyābajjhaṁyeva	alivio
abyāpāda	no malquerencia
abyāpajjaṁ	alivio
ācinato	acumulada
addhagato	veterano
adhigacchati	halla
adhigamanīyāni	hallar
adhigato	hallada
adhimuccati	prefiere
adhippayāso	divergencia
ādīnavā	inconveniente
ādīnavañca	inconveniente
ādīnavato	inconveniente
ādīnavo	inconveniente
adinnādānā	tomar lo que no es dado
adukkhamasukhampi	ni satisfacción ni dificultad
agāraṁ	hogar
āgati	venida
ājāneyyaṁ	reconocer
ajeyyo	imbatible
ājīvaṁ	medio de vida
ajjhosa	aferrado
ajjhosāya	aferrado
akāliko	inmediato
akāliko	sin demora
ākāsaṁ	cielo
akkhamo	intolerante
akusalā	que no hacen bien
akusalānaṁ	que no hacen bien
akusale	que no hacen bien
akusalehi	que no hacen bien
allīyanti	apega
āloko	luz
āmantesi	se dirigió
āmisa	mundano
anabhinanditvā	sin aprobar
anabhirati	descontento
anāgāmī	el no llegado
anaññathāni	inequívocas
anāsavā	sin secreciones
anatīto	no exento
anattā	no uno mismo
anavasesaṁ	sin residuo
aniccā	inconstantes
aniccaṁ	inconstante
animitto	sin rasgo
ānisaṁsā	ventajas
ānisaṁsāti	ventajas
antaradhānaṁ	desvanecimiento
anukampakena	compasión
anukampaṁ	compasión
anukampantā	compasión
anumoditvā	alabó
anupekkhita	reconsideradas
anuppatto	alcanzado
anusāsanī	instrucción
anusayā	lo latente
anuttara	insuperable
anuvicca	averiguado
aññathābhāvī	ambigua, equívoca
aññathattaṁ	una ambigüedad
apacinato	no acumula
aparisesā	sin remanente
apāyaṁ	penuria
appamattako	insignificante
appamatto	sobrio
appeva	ojalá
appicchatā	austeridad
appiyā	despreciables
appiyehi	despreciables
ariya	noble
ariyasāvako	discípulo noble
ariyo aṭṭhaṅgiko maggo	Camino Óctuple Noble
ārogye	salud
āropetvā	habiendo alzado
āropito	alzado
asaddhammā	malos principios
asaddhamme	malos principios
asaṁvarañca	desenfreno
asaṁvaro	desenfreno
āsava	secreciones
asesa	sin remanente
āsevati	practica
assāda	gusto
assādaṁ	gusto
assādañca	gusto
assādato	gusto
assādo	gusto
assāsapassāsā	respiración
asubhā	lo asqueroso
ātāpī	ferviente
atho	y además
attā	uno mismo
attabyābādhāyapi	agobiarse
attamanā	felices
attamanatā	felicidad
attamano	felicidad
attavāda	dichos sobre uno mismo
attha	finalidad
atthaṁ	finalidad
atthaṅgamā	repliegue
atthaṅgamañca	repliegue
atthaṅgamo	repliegue
atthasaṁhitā	pertinentes
atthavasaṁ	provecho
atthi	existe
avihiṁsā	no maltrato
avijjā	desconocimiento
avisayasmiṁ	alcance
āvuso	amigos
ayaṁ	esta
ayaṁ	esta persona
ayameva	precisamente
āyasmā	Venerable
āyatana	campos
āyatanānaṁ	campos
āyu	vitalidad
bahulīkaroti	entrena
bahulīkatā	entrenaremos
bahulīkato	entrena
bahussutā	bien escuchadas
bahussuto	de mucho escuchar
bandhu	vinculado
bhabbo	capaz
bhagavā	Dichoso
Bhagavant	Dichoso
Bhagavato	Dichoso
bhante	reverendo
bhāsitaṁ	lo dicho
bhāsitassa	lo dicho
bhava	devenir
bhavā	devenir
bhāvetabbā	suscitar
bhāveti	suscita
bhavissati	será
bhāvito	suscita
bhavo	devenir
bhayā	temor
bhedā	desintegración
bhedo	desintegración
bhikkhave	bhikkhus
bhogā	riqueza
bhūmi	terreno
brahmacārayo	conducta espiritual
brahmacariyaṁ	conducta espiritual
brāhmaṇā	brahmanes
buddhe	despierto, despertado
byā pāda	malquerencia
byādhi	enfermedad
byādhiṁ	afecciones
byantīhonti	es finalizado
byāpādo	malquerencia
byāpajjati	repudia
byāpanna	dañino
cāga	desprenderse
cakkhu	ojo
caranti	se conducen
cariya	conducta
cariyā	conducta
cavanatā	tránsito
cetanā	intención
cetasā	ánimo
cetasika	anímico, del ánimo
cetaso	ánimo
ceteti	estar dispuesto
cetovimutti	liberación por el corazón
chanda	deseo
chandā	deseo
chandarāgo	deseo e interés
chando	deseo
cittaṁ	corazón
cuti	partida
dakkhiṇā	ofrenda
dakkhiṇaṁ	ofrenda
dāna	regalar
dāne	regalar
datvā	habiendo dado
dāyādehi	herederos
dāyādo	heredero
desenti	enseñan
dhammā	cuestiones, principios
dhammānaṁ	cuestiones, principios
dhamme	cuestiones, principios
dhammehi	cuestiones, principios
dhammikā	genuinas
dhammo	cuestiones, principios
dhanā	tesoros
dhanāni	tesoro
dhanāyanti	atesorar
dhāreti	debe
dharo	retiene
dhātā	recordadas
dhuvaṁ	continua
diṭṭhe	visto
diṭṭheva	lo visto
diṭṭhi	punto de vista
domanassaṁ	disgusto
dosā	odio
doso	odio
duccarita	mala conducta
duccaritaṁ	mala conducta
duccarite	mala conducta
duggatiṁ	desventura
dukkaṭā	malos
dukkhā	dificultad
dukkhakkhandho	montón de dificultad
dukkhaṁ	dificultad
dukkhampi	dificultad
dukkhanirodhagāminī	que conduce a la supresión de la dificultad
dukkhāpi	de dificultad
dukkhatā	condición dificultosa
duppaññe	de saber equivocado
dussīle	inmorales
duṭṭho	hostil
ehipassikaṁ	constatable
ehipassiko	constatable
etadavoca	dijo esto
ettha	en este caso
evaṁ	así
Evameva	Así también
gahapatayo	amos de casa
gahapati	amo de casa
gahapatīhi	amos de casa
gahapatīpi	amos de casa
gahaṭṭhena	por quien tiene hogar
gandhā	olor
gati	curso
gihi	quien tiene hogar
gihinā	por quien tiene hogar
hāpetun	menoscabar
hāyati	disminuye
hāyatiyeva	disminuye
hi	por cierto
hirī	avergonzarse
hirīmā	vergüenza
hitāya	bienestar
hitesinā	deseo de beneficiar
idaṁ	esto
imassa	ciertamente
ime	estos
imehi	aquí
iṭṭhā	deseadas
itthattāyā	el aquí
iṭṭhāya	deseado
jānāti	entiende
janeti	genera
jarā	decaimiento
jaraṁ	decrepitud
jarāmaraṇaṁ	decaimiento-perecimiento
jāti	procedencia
jigucchanti	le huyen
jiṇṇo	desgastado
jīvikaṁ	vida
kālakiriyā	cumplimiento de tiempo
kālaṁ	tiempo, momento
kālaṁ karoti	cumple su tiempo
kaḷevarassa	cadáver
kalyāṇo	bondadoso
kāma	sensualidad
kāmaguṇā	hebras de la sensualidad
kāmaguṇe	hebras de la sensualidad
kāmānaṁ	sensualidad
kāmehi	sensualidad
kāmesu	sensualidad
kamma	actos
kammaṁ	actos
kammānaṁ	actos
kammena	actuación
kantā	amenos
kantāya	ameno
karaṇīyaṁ	debe hacer
karaṇīyo	hay que
kāya	cuerpo
kāyagatā	lo referido al cuerpo
kāyassa	lo corporal
kāyena	con el cuerpo
kāyika	lo corporal
kāyo	cuerpo
keḷāyanti	celar
khamo	tolerante
khandhānaṁ	montones
khayo	destrucción
khīṇā	acabado
khīyati	deshecha
kho	pues
kilamati	agobiarse
kīḷanti	juegan
kilesa	mancilla
kittāvatā	en qué medida
kittisaddo	reputación
kulaputtassa	hijo de buena familia
kulaputto	hijo de buena familia
kusale	que hacen bien
kusalehi	que hacen bien
labhati	conseguir
laddha	obtenida
lajjī	escrupuloso
loko	mundo
loko	mundo
maccharī	mezquinos
maccu	muerte
mada	embriaguez
madena	embriaguez
maggo	camino
mahallako	mayor
mahapphalo	muy fructífera
mamāyanti	adueñar
manāpā	gratas
manāpāya	grato
manāpo	grato
manasā	interior
manasi karoto	prestar atención
manasikāro	el prestar atención
mano	la mente/lo interior
maññatha	creen
maraṇā	perecimiento
maraṇaṁ	perecimiento
maraṇampi	perecimiento
mattā	ese grado
medhāvī	inteligentes
mettā	benevolencia amistosa
micchā	equivocada
mohā	autoengaño
mohe	autoengaño
moho	autoengaño
musāvādā	decir falsedades
mute	sentido
muṭṭhā	extraviado
nāmarūpaṁ	nombres figura
nānābhāvo	división
nānākaraṇaṁ	variación
nandi	beneplácito
nandī	beneplácito
nekkhamma	ascetismo
nekkhamma	ascetismo
nibbāna	disipación
nibbānaṁ	disipación
nibbānāya	disipación
nibbidāya	hastío
nibbindati	se hastía
niccaṁ	estable
nidāna	fundamento
nikaṭṭha	apartado
nikkhepo	abatimiento
nimittaṁ	rasgo
nimujjati	se sumerge
nirāmisāpi	espiritual
nirayaṁ	desgracia
nirodha	supresión
nirodhāya	supresión
nirodho	supresión
nirujjhanti	se anulan
nirupadhi	desligada de adquisiciones
nisīdi	se sentó
nisinno	sentado
nissaraṇaṁ	escape
nissaraṇan	escape
nissaraṇañca	escape
nissaraṇato	escape
nissāya	por cuenta de
nīvaraṇa	obstrucciones
nivāsa	morada
niveseti	conduce
niyāma	norma
niyato	firme
ñāṇākārāṇī	percatarse
ñāṇaṁ	percatarse
Ñāṇañca	percepción
okkanti	descenso
okkanto	entrado
opaneyyikaṁ	accesible
opaneyyiko	accesible
opapātika	no gestados
opapātiko	no gestado
orambhāgiyānaṁ	pertenecientes a lo inferior
ottappa	preocuparse
ottappaṁ	preocuparse
ovādaṁ	admonición
pabbajita	quien partió
pabbajjā	el partir
pabhanguñca	frágil
paccassosuṁ	contestaron
paccavekkhato	reflexiona
paccavekkhitabba	para reflexión
paccavekkhitabbaṁ	debe ser reflexionado
paccavekkhitabbāni	deben ser reflexionadas
paccayo	requisito
pacīyati	acopiada
padahati	afrontar
paduṭṭha	contaminadas
paggaṇhāti	aplica
pahānāya	abandonar
pahātabbaṁ	abandonar
pahātabbo	abandonar
pahāya	abandonado
pahīne	abandona
pahitatto	entregado
pahīyanti	abandonadas
pahīyati	es abandonado
pajānāti	sabe
pamāda	negligencia
pana	al menos
pana	siquiera
pāṇātipātā	quitar vidas
panāvuso	amigos
paṇḍito	sabio
pantāni	distantes
paññā	el saber
paññapeti	describe
paññavā	sabiduría
paññāvimuttiṁ	liberación con la sabiduría
paññāya	sabiduría
paññāyati	se sabe de
pāpakā	funestas
pāpakānaṁ	funestas
pāpako	funesta
parabyābādhāyapi	agobiar a otro
paraṁ	después
paravittūpakaraṇaṁ	pertenencias de otros
parāyaṇo	apoyado
parāyaṇo	inclinado
paribbājakā	peregrinos
paribbājakānaṁ	peregrinos
paribbājakehi	peregrinos
paribbājako	peregrino
paricitā	consolidadas
parideva	lamentos
parihānañhetaṁ	menguar
parihāyāmi	menguan
parikkhayā	extinción
parikkhayāya	extinción
parikkhīṇaṁ	consumida
parikkhīṇo	agotado
pariḷāha	ardor
parinibbāyī	disipado completamente
pariññā	comprensión plena
pariññāñca	comprensión plena
pariññāya	comprensión plena
pariññeyyaṁ	comprendida plenamente
parivitakko	vacilación
pariyādiṇṇaṁ	agotada
pasādena	optimismo
pasīdati	se alegra
patarati	atraviesa
paṭicca	sustentado
paṭicca	sustentado
paṭiccasamuppādaṁ	surgimiento sustentado
paṭiccasamuppādo	surgimiento sustentado
patigādhappatto	alcanza asiento
pāṭikaṅkhā	cabe esperar
pāṭikaṅkhaṁ	es de esperar
paṭikūlā	ser reacio
paṭilābho	adquisición
paṭipadā	dedicación
paṭipadāya	dedicación
paṭipannā	están dedicados
paṭipanno	están dedicados
paṭippassaddho	apaciguado
paṭisaṁvedeti	experimenta
paṭisañcikkhati	reconsidera
paṭisaraṇo	refugio
paṭisevati	recurre
paṭissato	consciente de sí
patiṭṭhāpeti	establece
patiṭṭhāpeyya	estableciese
patiṭṭhāti	reafirma
paṭivirato	abstiene
pātubhāvo	manifestación
pavedeti	da a conocer
pema	querer
petti	antepasados
phalaṁ	fruto
pharusāya	dureza
phasso	contacto
phoṭṭhabbā	tangibles
phusasi	tocado
pīṇeti	complace
pipāsa	sed
pisuṇāya	malicia
pīti	júbilo
piyaṁ	apreciable
piyo	apreciable
puggalā	individuos
puggalo	individuo
puññassa	méritos
puthujjano	hombre común
rāga	interés
rāgā	interés
rāgo	interés
rajanīyā	tentadoras
rasā	sabor
rattā	pasión
ratto	apasionado
rūpā	figura
rūpaṁ	figura
rūpānaṁ	figura
ruppati	desfigurada
sabbaso	totalmente
sabbe	todos
sacchikātabbaṁ	atestiguar
sacchikatvā	atestiguar
saddā	sonido
saddahati	confíe
saddhā	tener confianza
saddhammā	los buenos principios
saddhamme	los buenos principios
saddho	confianza
sādhu	buena
sādhukaṁ	completamente
saggaṁ	paradisíaco
saggasaṁvattaniko	lleva al paraíso
sakadāgāmī	el llegado una vez
saḷāyatanaṁ	campos
sama	nivelado
samādapeti	incita
samādhi	compostura
samādhijaṁ	compostura
samaṇā	hombres santos
samannāgato	está dotado
samaṇo	santo, hombre santo
samanupassāmi	contemplar
samāpanno	ha emprendido
samāpattiyā	consecución
samatho	calma
samayaṁ	ocasión
sambhavanti	suceder
sambodhāya	esclarecimiento
sambodhi	esclarecimiento
sammā	cabal
sampadā	don
sampajāna	a sabiendas
sampajāno	a sabiendas
sampannaṁ	logrado
samphappalāpā	charlatanería
samudaya	fuente
samudayañca	fuente
samudayo	fuente
samuppādo	surgimiento
Saṁvarañca	autocontrol
saṁvaro	autocontrol
saṁvattanti	lleva a
saṁyojanānaṁ	encadenamientos
saṁyojanāni	encadenamiento
sandiṭṭhikaṁ	patente
sandiṭṭhiko	patente
saṅkappo	intención
saṅkhārā	atribuciones
saṅkhataṁ	atribuida
sankhatamabhisaṅkharontīti	atribuye lo significado
saṅkhittena	concisamente
sannicayo	acumula
santo	presentes
santo	virtuosos
santuṭṭhitā	conformidad
sañjāti	génesis
sañjāyati	nace
saññā	distinción
saññaṁ	distinción
sappurisā	hombres de bien
sāratta	cautivado
sāsava	con secreciones
sāta	agrado
sātaṁ	agrado
sati	estar presente
sati	tener presente
satiyā	tener presente
sattā	sujetos
sattānaṁ	sujetos
satto	sujeto
sāvakānaṁ	discípulos
senāsanāni	aposentos
seyyathāpi	igual que
seyyathidaṁ	lo siguiente
sikkhāpadesu	preceptos
sikkhitabbaṁ	adiestrarse
sīla	comportarse
sīlabbata	comportamiento y votos
sīvathikaṁ	campo de putrefacción
sivathikāya	campo de putrefacción
soka	pena
somanassa	gozo
somanassaṁ	gozo
sotāpanno	adentrado en la corriente
sovaggikaṁ	propicia
sovaggiko	propicio
sucarita	buena conducta
sucarite	buena conducta
sugatiṁ	buena fortuna
sugato	afortunado
sukata	buenos
sukha	satisfacción
sukhā	satisfacción
sukhaṁ	satisfacción
sukhampi	satisfacción
sukhāpi	de satisfacción
sukhāya	satisfacción
sumano	radiante
sumedhaso	inteligente
suṇātha	escuchen
suññato	vacío
suta	escuchar
sute	escuchado
svākkhāto	enseñado
taṇhā	ganas
tanu	disminuida
tanuttā	merma
tasmā	por ello
tasmātiha	por lo tanto
tassa	de ello
tassa	por ello
tathāni	auténticas
tato	de ahí que
tatra	en este asunto
tattha	en ese caso
ṭhāna	situación
ṭhānāni	situaciones
ṭhitā	permanece
ṭhitassa	lo permanente
ṭhito	permanece
tiṭṭhati	se queda
tveva	pero
ubhayabyābādhāyapi	agobiar a los dos
udapādi	surgió
ummujjitvā	habiendo emergido
upādāna	asidero
upādānaṁ	asidero
upādāniyā	se puede asir
upādāya	asiendo, anclando
upadhi	adquisiciones
upahaññati	afligida
upajāyatī	aparecen
upapajjanti	reviven
upapajjati	revive
upapajjatī"ti	revive
upapajjeyya	revivir
upapajjissāmī	reviviré
upapatti	advenimiento
upāsakaṁ	seguidor laico
upāsake	seguidores laicos
upasamāya	tranquilidad
upasampajja	alcanzando
upāsikā	seguidora laica
upāyāsa	desazón
upekkhā	ecuanimidad
upeti	se acerca
uppādo	un irrumpir
uppajjati	surge
vacasā	recitadas
vācāya	verbal
vacī	verbal
vaḍḍhanti	crece
vaḍḍhati	crece
vāyāmo	esfuerzo
vayo	deterioro
vedanā	sensación
vedanaṁ	sensación
vedanāṁ	sensación
vedanānaṁ	sensación
vedanānaṁ	sensación
vedeti	siente
veditabbo	conocer
veramaṇī	abstención
vibhavataṇhā	desaparición
vicāra	planificación
viddhaṁsenti	derrumban
vidhamanti	destrozan
viharati	reside
vihesā	maltrato
vihiṁsā	maltrato
vijānato	reconoce
vijjā	conocimiento
vikiranti	esparcen
viloketi	observa
vimuttiyā	liberación
vinābhāvo	separación
vinaye	disciplina
vineyya	domado
vinipātaṁ	hundimiento
viññāṇaṁ	reconocimiento
viññāte	reconocido
viññū	entendidos
vipāka	consecuencia
vipāko	consecuencia
viparibhinnāni	destrozado
vipariṇāma	cambio
vipariṇāmadhammā	cambiantes
vipariṇāmī	cambiante
vipassanā	discernimiento
vipassati	discierne
vippasannāni	establecidas
virāgāya	desinterés
vīriyaṁ	pujar
visatto	enredado
visayo	ámbito
viseso	diferencia
vitakka	propósito
vitakkavicārānaṁ	propósito y planificación
vītivatto	ha trascendido
vitthārena	extensa
vivekajaṁ	desligarse
vivicca	desligado
vivicceva	desligado
vosagga	donar
vuccati	se llama
vuddho	maduro
vūpakaṭṭho	retirado
vūpasamo	aquietamiento
vūpasantā	amainado
vuṭṭhānaṁ	se termina
vuṭṭhāti	sale
yācasī	pretendes
yadidaṁ	o sea
yaṁ	lo que fuera
yañño	ofrenda
yathābhūtaṁ	en verdad
yato	en donde
yo	cual sea
yo	cualquier
yo	lo que sea
yo	quienquiera
yogo	consagrarse a
yoniso	cuidadosa
yonisomanasikāro	prestar cuidadosa atención
nissito	asentado
